layer,dim,numvector,loss,epoch,train_base_acc,test_new_acc
4,8,64,0.8,5,91.7,77.5
4,8,64,0.8,6,84.13,58.8
4,8,64,0.8,7,93.43,80.07
4,8,64,0.8,8,94.2,78.17
4,8,64,0.8,9,94.7,73.83
4,8,64,0.8,10,95.0,70.27
4,8,64,1.0,5,92.03,78.97
4,8,64,1.0,6,85.6,66.43
4,8,64,1.0,7,93.1,78.6
4,8,64,1.0,8,93.07,72.93
4,8,64,1.0,9,94.23,76.83
4,8,64,1.0,10,94.93,71.67
4,8,64,1.2,5,91.87,78.3
4,8,64,1.2,6,93.2,81.23
4,8,64,1.2,7,90.5,73.5
4,8,64,1.2,8,81.4,60.4
4,8,64,1.2,9,94.57,70.97
4,8,64,1.2,10,95.43,72.43
4,8,64,1.5,5,92.37,77.87
4,8,64,1.5,6,77.93,56.07
4,8,64,1.5,7,91.97,74.67
4,8,64,1.5,8,92.3,76.0
4,8,64,1.5,9,93.87,73.73
4,8,64,1.5,10,92.73,62.7
4,8,64,2.0,5,90.23,77.87
4,8,64,2.0,6,91.5,71.5
4,8,64,2.0,7,89.57,70.47
4,8,64,2.0,8,81.07,51.67
4,8,64,2.0,9,89.83,76.13
4,8,64,2.0,10,94.6,73.07
4,8,128,0.2,5,92.37,76.07
4,8,128,0.2,6,93.53,75.83
4,8,128,0.2,7,92.87,75.73
4,8,128,0.2,8,93.57,72.2
4,8,128,0.2,9,94.17,69.73
4,8,128,0.2,10,94.43,71.43
4,8,128,0.4,5,92.37,78.73
4,8,128,0.4,6,91.4,74.1
4,8,128,0.4,7,92.9,77.7
4,8,128,0.4,8,93.53,73.97
4,8,128,0.4,9,93.17,75.27
4,8,128,0.4,10,94.27,72.93
4,8,128,0.8,5,92.5,74.07
4,8,128,0.8,6,92.03,72.1
4,8,128,0.8,7,78.17,58.8
4,8,128,0.8,8,93.37,75.17
4,8,128,0.8,9,94.43,67.8
4,8,128,0.8,10,92.73,66.6
4,8,128,1.0,5,87.57,70.0
4,8,128,1.0,6,91.77,72.8
4,8,128,1.0,7,92.9,82.3
4,8,128,1.0,8,92.93,75.67
4,8,128,1.0,9,94.33,73.43
4,8,128,1.0,10,89.83,61.13
4,8,128,1.2,5,91.23,69.7
4,8,128,1.2,6,90.2,64.7
4,8,128,1.2,7,93.33,74.23
4,8,128,1.2,8,92.97,79.8
4,8,128,1.2,9,93.67,71.77
4,8,128,1.2,10,95.0,72.77
4,8,128,1.5,5,89.57,69.3
4,8,128,1.5,6,89.13,76.57
4,8,128,1.5,7,85.4,56.4
4,8,128,1.5,8,92.67,65.53
4,8,128,1.5,9,84.77,54.0
4,8,128,1.5,10,95.13,66.9
4,8,128,2.0,5,71.77,43.97
4,8,128,2.0,6,79.47,54.8
4,8,128,2.0,7,80.67,53.17
4,8,128,2.0,8,77.43,58.83
4,8,128,2.0,9,93.93,73.23
4,8,128,2.0,10,81.4,53.5
4,16,8,0.2,5,91.6,77.63
4,16,8,0.2,6,91.1,75.7
4,16,8,0.2,7,79.57,59.0
4,16,8,0.2,8,93.17,71.27
4,16,8,0.2,9,93.57,72.4
4,16,8,0.2,10,94.37,76.07
4,16,8,0.4,5,92.07,72.57
4,16,8,0.4,6,91.9,77.97
4,16,8,0.4,7,93.73,74.7
4,16,8,0.4,8,93.4,77.2
4,16,8,0.8,10,93.2,70.6
4,16,8,1.0,5,74.07,57.83
4,16,8,1.0,6,93.53,75.7
4,16,8,1.0,7,79.3,55.73
4,16,8,1.0,8,93.1,64.1
4,16,8,1.0,9,91.97,62.53
4,16,8,1.0,10,91.9,68.17
4,16,8,1.2,5,84.73,60.43
4,16,8,1.2,6,72.37,43.4
4,16,8,1.2,7,85.17,66.0
4,16,8,1.2,8,83.4,41.57
4,16,8,1.2,9,88.17,54.93
4,16,8,1.2,10,84.2,57.73
4,16,8,1.5,5,76.4,59.13
4,16,8,1.5,6,73.0,52.23
4,16,8,1.5,7,90.03,66.87
4,16,8,1.5,8,93.63,70.9
4,16,8,1.5,9,80.77,44.97
4,16,8,1.5,10,93.87,73.8
4,16,8,2.0,5,82.47,68.73
4,16,8,2.0,6,77.9,53.47
4,16,8,2.0,7,77.27,52.4
4,16,8,2.0,8,90.07,64.87
4,16,8,2.0,9,77.27,47.2
4,16,8,2.0,10,89.4,57.9
4,16,16,0.2,5,91.57,73.1
4,16,16,0.2,6,93.13,75.37
4,16,16,0.2,7,92.8,72.07
4,16,16,0.2,8,93.6,71.63
4,16,16,0.2,9,94.4,75.07
4,16,16,0.2,10,94.83,71.87
4,16,16,0.4,5,93.07,80.37
4,16,16,0.4,6,92.7,75.23
4,16,16,0.4,7,94.2,78.4
4,16,16,0.4,8,93.4,75.3
4,16,16,0.4,9,93.33,70.3
4,16,16,0.4,10,95.37,70.9
4,16,16,0.8,5,74.53,61.33
4,16,16,0.8,6,77.53,60.77
4,16,16,0.8,7,92.97,74.93
4,16,16,0.8,8,82.27,53.97
4,16,16,0.8,9,94.5,67.47
4,16,16,0.8,10,94.63,70.67
4,16,16,1.0,5,68.97,58.53
4,16,16,1.0,6,86.33,64.5
4,16,16,1.0,7,93.27,73.17
4,16,16,1.0,8,78.1,45.23
4,16,16,1.0,9,93.5,65.93
4,16,16,1.0,10,94.47,68.83
4,16,16,1.2,5,85.03,70.2
4,16,16,1.2,6,77.17,53.7
4,16,16,1.2,7,86.1,72.57
4,16,16,1.2,8,93.97,76.0
4,16,16,1.2,9,91.67,71.23
4,16,16,1.2,10,93.23,61.17
4,16,16,1.5,5,91.47,74.43
4,16,16,1.5,6,73.17,38.43
4,16,16,1.5,7,84.53,60.33
4,16,16,1.5,8,81.73,37.23
4,16,16,1.5,9,93.47,68.47
4,16,16,1.5,10,94.3,71.6
4,16,16,2.0,5,69.23,49.97
4,16,16,2.0,6,72.93,51.27
4,16,16,2.0,7,92.4,65.97
4,16,16,2.0,8,93.63,73.4
4,16,16,2.0,9,93.13,66.0
4,16,16,2.0,10,92.6,64.27
4,16,32,0.2,5,92.2,73.47
4,16,32,0.2,6,93.13,76.47
4,16,32,0.2,7,92.53,72.67
4,16,32,0.2,8,93.47,78.03
4,16,32,0.2,9,93.77,67.33
4,16,32,0.2,10,94.83,71.77
4,16,32,0.4,5,89.1,77.57
4,16,32,0.4,6,93.6,74.67
4,16,32,0.4,7,93.33,77.17
4,16,32,0.4,8,93.7,74.47
4,16,32,0.4,9,93.2,70.3
4,16,32,0.4,10,94.73,70.07
4,16,32,0.8,5,76.43,59.7
4,16,32,0.8,6,90.23,71.37
4,16,32,0.8,7,93.47,76.73
4,16,32,0.8,8,92.5,80.13
4,16,32,0.8,9,94.47,75.97
4,16,32,0.8,10,95.0,73.8
4,16,32,1.0,5,75.5,64.27
4,16,32,1.0,6,92.57,74.33
4,16,32,1.0,7,93.73,81.37
4,16,32,1.0,8,93.43,75.97
4,16,32,1.0,9,93.73,67.97
4,16,32,1.0,10,95.07,77.43
4,16,32,1.2,5,92.8,76.37
4,16,32,1.2,6,85.17,57.57
4,16,32,1.2,7,93.2,75.9
4,16,32,1.2,8,89.47,68.0
4,16,32,1.2,9,91.1,64.53
4,16,32,1.2,10,88.7,64.63
4,16,32,1.5,5,90.67,79.37
4,16,32,1.5,6,77.83,60.37
4,16,32,1.5,7,82.47,62.9
4,16,32,1.5,8,79.87,46.43
4,16,32,1.5,9,93.9,76.3
4,16,32,1.5,10,87.0,61.87
4,16,32,2.0,5,85.8,61.47
4,16,32,2.0,6,87.3,58.33
4,16,32,2.0,7,92.73,74.53
4,16,32,2.0,8,93.47,73.67
4,16,32,2.0,9,82.0,51.0
4,16,32,2.0,10,95.17,76.93
4,16,64,0.2,5,92.37,72.63
4,16,64,0.2,6,92.83,74.37
4,16,64,0.2,7,92.63,72.17
4,16,64,0.2,8,93.33,72.7
4,16,64,0.2,9,93.6,73.23
4,16,64,0.2,10,94.9,70.77
4,16,64,0.4,5,92.37,73.7
4,16,64,0.4,6,92.13,71.6
4,16,64,0.4,7,93.2,77.1
4,16,64,0.4,8,92.33,67.17
4,16,64,0.4,9,94.33,71.9
4,16,64,0.4,10,94.8,74.53
4,16,64,0.8,5,90.67,68.63
4,16,64,0.8,6,92.63,75.77
4,16,64,0.8,7,93.5,78.17
4,16,64,0.8,8,94.33,77.77
4,16,64,0.8,9,94.8,69.47
4,16,64,0.8,10,93.27,68.5
4,16,64,1.0,5,91.6,73.27
4,16,64,1.0,6,87.13,71.9
4,16,64,1.0,7,88.9,77.33
4,16,64,1.0,8,91.57,65.67
4,16,64,1.0,9,91.97,69.87
